,rewards
0,-3.2253565906940054
1,-15.278341768812052
2,-5.125641896786317
3,-6.037167715953458
4,-19.738794699211326
5,-15.32790508790692
6,44.8637115605158
7,-13.467743194561844
8,-8.622309229811318
9,-15.68273051311948
10,-12.431979782929702
11,-17.152310429744393
12,135.20181921298848
13,-9.086353552078636
14,-15.237473903163021
15,-9.906077966718286
16,34.841404768166335
17,-7.455918470833899
18,28.112676275508807
19,-10.552548489876674
20,-15.895522881076506
21,-11.038213928220436
22,-19.565466901643195
23,-9.092241493237173
24,24.580757148496595
25,-19.21973527159806
26,-7.746929565599593
27,-9.672990279030863
28,-19.04425958805796
29,-6.823804055661913
30,-19.804940303628314
31,-16.860402003349826
32,-7.33519155689488
33,-7.770907339878569
34,-7.789767584402579
35,-12.647332784391548
36,-19.522210698728763
37,-8.434195561720216
38,-8.696336514464676
39,-19.882633384729562
40,-11.485018699309723
41,-17.142520345118715
42,-16.772862814782968
43,-8.732925923166764
44,-7.970481149447991
45,-19.889549760553834
46,-8.878898733325892
47,-9.928523676198976
48,-18.59655923827276
49,-19.253704169058732
